Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
18-Feb-02,51.9,51.9,43.5,44.35,10381190,477543140.5
19-Feb-02,45.15,45.15,41.3,41.7,3552660,151260941.3
20-Feb-02,40.6,42.8,40.25,41.25,2512964,104434782.7
21-Feb-02,42.85,43.4,42.15,42.4,1338196,57226810
22-Feb-02,42.65,43.6,41.1,43.3,811327,34684132.25
25-Feb-02,45.5,45.5,42.65,42.8,454151,19552996.45
26-Feb-02,43.15,44.2,42.9,43.6,894960,38911652.3
27-Feb-02,43.95,46.3,43.75,44.65,3271361,147288180.7
28-Feb-02,46,46.8,40.8,41.5,4429634,197027720.8
01-Mar-02,42,43.4,41.8,42.5,942785,40089850.75
04-Mar-02,43.1,44.25,42.85,43.3,615152,26678458.2
05-Mar-02,44.2,45.5,43.7,45.3,1490137,66938807
06-Mar-02,45.9,46.7,44.8,45.1,1989742,90885773.9
07-Mar-02,45.9,45.9,44.75,44.95,675801,30402509.05
08-Mar-02,45.2,45.25,43.7,43.9,273519,12112954.9
11-Mar-02,44.5,45.4,43.1,43.3,217122,9464238.6
12-Mar-02,43.4,43.45,41.9,42.1,321384,13703579.45
13-Mar-02,42.1,42.65,41.5,41.9,228034,9611928.95
14-Mar-02,42,42.4,41.05,41.45,302924,12620948.95
15-Mar-02,42,42.5,41.35,41.95,402993,16876487.55
18-Mar-02,43,43,41.55,41.75,387469,16339896.35
19-Mar-02,42.1,42.9,40.4,40.7,505251,20881657.45
20-Mar-02,40.9,41.35,40.25,40.5,413147,16893781.5
21-Mar-02,40.6,41,40.4,40.6,171711,6982737.45
22-Mar-02,40.8,41.45,39.5,39.85,225579,9050323.9
26-Mar-02,40.75,40.75,38.9,39,190075,7461503.4
27-Mar-02,40.9,40.9,39,39.1,175456,6875846.85
28-Mar-02,39.2,39.35,38,38.55,247315,9580536.15
01-Apr-02,39.4,40.1,38.65,38.9,169309,6663096.8
02-Apr-02,38.95,39,37.05,37.3,401427,15181315.4
03-Apr-02,37.25,38,35.7,36.1,434081,16035864.3
