Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
04-Nov-10,291,344.9,291,342.55,479716245,157003958220
05-Nov-10,343,356.5,343,349.85,31927173,11167471967
08-Nov-10,351.8,355.9,329.5,330.75,46932779,15731175194
09-Nov-10,330.15,333.4,325,326.05,23741956,7781382791
10-Nov-10,325.4,327.8,320.05,322.8,21057129,6817981755
11-Nov-10,323,336.95,321.85,328.55,26548372,8799018185
12-Nov-10,330,332.95,318,320.15,15004107,4887871676
15-Nov-10,321.2,322.9,315.05,317.2,9917395,3167543768
16-Nov-10,320,323.95,316.1,318.05,12100114,3862460395
18-Nov-10,319.6,328.95,310,326.9,23983896,7652940947
19-Nov-10,330.25,339.95,328.1,333.55,51723739,17367203375
22-Nov-10,336,337,315,333.35,11494521,3842208465
23-Nov-10,330.5,332.4,317.5,320.15,13147667,4275839336
24-Nov-10,329.35,329.35,310,310.8,16243562,5107733985
25-Nov-10,314,318.35,311.1,313.2,6489260,2040785774
26-Nov-10,315,316,301,312.7,13657322,4224243850
29-Nov-10,311.4,319.7,308.2,317.45,6493219,2039072692
30-Nov-10,315,319,312,317.25,6050064,1908430217
01-Dec-10,317,322.5,315,320.95,5053942,1614911119
02-Dec-10,322.2,325.95,321.15,324.85,6143344,1990965922
03-Dec-10,318.1,325.7,318.1,321.95,2453815,789647270.1
06-Dec-10,321,324.9,318.5,320.4,2895539,931835883.4
07-Dec-10,320.5,322.75,317.25,320,3484977,1116432006
08-Dec-10,318.6,322.7,317.25,318.85,2877153,917041846.5
09-Dec-10,318,320,309,313.2,5313081,1660026976
10-Dec-10,312,322,312,317.3,5799900,1843283418
13-Dec-10,318,324.35,317,323.15,2809522,901921749.5
14-Dec-10,324.45,331,322.75,325.3,7075931,2315872204
15-Dec-10,325.6,330,323,327.85,5380352,1762906227
16-Dec-10,326.75,327,317.4,320.7,2893052,928829422.2
20-Dec-10,323,323,315.05,316,2905355,922749029.5
21-Dec-10,318.8,318.8,311.2,313.3,4427901,1390574149
22-Dec-10,315.1,319.7,312.7,314.05,5425074,1711502304
23-Dec-10,315.05,315.95,312,312.95,3326534,1044827591
24-Dec-10,313,313.9,310.1,312.15,1859093,580361493.3
27-Dec-10,312.15,314.3,306.5,307.3,5273320,1629376537
28-Dec-10,308,309.95,301,303.75,8055446,2447444463
29-Dec-10,306.1,311.4,304.3,310.25,5772875,1779427972
30-Dec-10,311,311.6,307,308.05,2643251,814744788.8
31-Dec-10,309.5,316.45,308.3,314.75,4960987,1559898663
03-Jan-11,315.5,318,314.55,317.3,2929118,926545211.9
04-Jan-11,318.9,320,316.05,319.2,2716995,865713190
05-Jan-11,320,320,308.25,309.8,8555905,2657533789
06-Jan-11,311,313,308.5,309.1,2763146,856783008.9
07-Jan-11,310,313.5,302.15,309.1,2298583,712207553.6
10-Jan-11,309.9,310,302.1,305.15,5413595,1648157368
11-Jan-11,306,312.95,306,309.05,2781948,861921046.8
12-Jan-11,309.9,312.9,306.25,308.5,1181115,363775457.5
13-Jan-11,309.4,313.95,307.5,310.45,2070696,643092005.7
14-Jan-11,310.45,315.5,307.95,310.5,2244505,701670038.4
17-Jan-11,307.25,314,306.2,313.15,1707118,534055956.3
18-Jan-11,313.5,313.95,308,311.15,844507,263051959.4
19-Jan-11,311,312.7,307.95,309.4,1426048,443546677.7
20-Jan-11,308.8,319.2,308.1,315.7,6121175,1931570367
21-Jan-11,316.45,316.45,312,314.15,2413133,758021461.8
24-Jan-11,314.9,314.9,309,310.45,1097986,342964207.7
25-Jan-11,311,315.7,308.55,310,2452476,768388938.3
27-Jan-11,311,312.9,307.2,308.3,2455783,760113839.6
28-Jan-11,307.05,309.7,303.05,305.05,4236476,1296850169
31-Jan-11,302,307.5,300.55,304.35,3673855,1117787678
01-Feb-11,305.5,309.85,303.5,308.3,4863055,1492276321
02-Feb-11,310.1,314.9,308.55,312.5,3374631,1047639970
03-Feb-11,311,320,310.9,317.35,4211492,1335349213
04-Feb-11,317.35,318.1,307,308.15,1688679,524742865.1
07-Feb-11,309.4,310.45,304.15,304.65,1799233,550808157.4
08-Feb-11,306.9,307.45,296.2,301.4,3841730,1160177064
09-Feb-11,302,307.85,297,298.7,4490558,1352814587
10-Feb-11,300.1,304,293.25,297.65,2690945,803074433.1
11-Feb-11,298.1,305,298,304.6,3292240,996302684.3
14-Feb-11,306,307,300.1,302.8,1942474,590563344.4
15-Feb-11,304.5,307.85,302,302.45,3035367,924359276.6
16-Feb-11,304.25,304.45,300.45,301.1,1619527,488751771.4
17-Feb-11,302.95,306.4,302,305.05,2752128,836031920.9
18-Feb-11,303.9,305.2,300.1,302.35,1990388,603072415.4
21-Feb-11,301.5,303.9,300,301.85,953044,287342072.4
22-Feb-11,302.5,303.5,300.3,301.35,1436876,433551339.7
23-Feb-11,302.4,302.4,299,300.65,2131294,640245305.2
24-Feb-11,301.4,303,298.25,299.3,2899140,869799446.3
25-Feb-11,300.1,303,289,292.65,1964843,576927025.8
28-Feb-11,299,331.75,296.1,327.7,20923045,6768380318
01-Mar-11,325,339.9,320.65,338.6,7867356,2614034868
03-Mar-11,338,338,327.2,329.05,4387230,1453240049
04-Mar-11,332.7,334.95,323.25,324.25,1402888,460175938.7
07-Mar-11,322,343.55,318.4,341,7183263,2396904698
08-Mar-11,343,344.5,335.35,337.25,3110206,1056167300
09-Mar-11,339.8,341.2,336.05,339.55,1603527,543366124.7
10-Mar-11,339.8,339.8,329.75,334.3,1612997,537170309.7
11-Mar-11,334.95,335,328.1,329.95,856545,283704893.8
14-Mar-11,330.9,335.75,327.05,333.8,1128910,376364122.2
15-Mar-11,329,342.9,320.15,338.45,4638465,1560374729
16-Mar-11,339.1,347.9,333.5,343.9,3717632,1281158584
17-Mar-11,342,347.5,338.5,342.95,1815524,624549629.6
18-Mar-11,343.5,347,337.6,344.4,2926170,1001239614
21-Mar-11,343.35,349.9,343.3,347.15,3943734,1368464503
22-Mar-11,347.5,371.4,347.4,360,9681241,3497290134
23-Mar-11,361,363.8,352.05,353.9,2695567,960341172.2
24-Mar-11,353.9,361.35,353.9,358.3,2324343,833125557.2
25-Mar-11,360,362,356.55,358.1,2203586,792852815.3
28-Mar-11,359.85,360,349.35,350.95,1128268,399149465.1
29-Mar-11,352,352,340.65,346.25,6481785,2228607075
30-Mar-11,347,350.5,340.1,341.4,2449230,844140309.1
31-Mar-11,342.4,348.9,341.4,346.5,3248352,1119542015
01-Apr-11,347,348.5,342.6,346.9,2169798,749261082.9
04-Apr-11,347.35,360.95,345.35,355.95,2719239,969845563.8
05-Apr-11,351.1,361,351.1,358.75,1328250,475019042.4
06-Apr-11,358.75,367.8,354.8,366.45,4513558,1639522531
07-Apr-11,367.3,370.8,358.3,359.65,2485182,905538603.1
08-Apr-11,363,363.7,351.5,355.25,2121665,752653506.4
11-Apr-11,356.4,363,352.6,357.6,2751598,983033548.7
13-Apr-11,358,359.4,350,353.9,1432901,507548956.8
15-Apr-11,355,358.75,350.5,357.45,2609120,927650948.9
18-Apr-11,359.05,359.25,350.45,352.7,979661,347014468.3
19-Apr-11,352,354.8,345.9,349.6,1488088,520620289
20-Apr-11,351.5,368.9,351,366.55,4296720,1556302340
21-Apr-11,369.7,369.75,358.05,362.3,4895594,1781594052
25-Apr-11,363,365.3,359.5,364.15,1832622,665026654.3
26-Apr-11,361.55,365,358.1,364.45,1277232,463058478.3
27-Apr-11,360,377,359.45,370.85,3734876,1385434423
28-Apr-11,372,381.8,370.75,376.7,7546827,2851512397
29-Apr-11,376.7,383.3,374.5,380.55,3799109,1443258901
02-May-11,362,382.95,362,379.7,1855839,700637099.8
03-May-11,378,384.5,368.55,371.5,2031295,766775772
04-May-11,371,374.8,361.3,371.7,2881731,1063818597
05-May-11,370.95,374.95,365.25,368.3,1537387,570087887.7
06-May-11,369.45,372.9,365.55,369.75,2241153,828172770
09-May-11,370,393.9,368.65,392.3,6109075,2358562179
10-May-11,392,396.35,385,386.15,3322937,1298858188
11-May-11,387.3,393.45,381.5,384.15,2854705,1104665790
12-May-11,385.9,393.2,380.35,381.85,2726810,1054625426
13-May-11,383,391.55,382.05,386.85,2281880,885654424.2
16-May-11,388,393.25,386,388.9,1551570,605120821.7
17-May-11,390,401.4,389.5,397.6,5674815,2253820576
18-May-11,399.6,399.6,370.4,373.7,8642834,3268122626
19-May-11,375.05,384.75,365.5,376.1,11416019,4287430417
20-May-11,372,373.6,362.65,364.95,5400664,1988335387
23-May-11,364,373.45,362.45,365.4,1974392,727174765.9
24-May-11,367,375.4,359.25,370.7,3890213,1420672641
25-May-11,373.6,384.9,371,377.35,3824128,1452281559
26-May-11,380,390.8,379.75,388.95,5232851,2028131228
27-May-11,389.5,394.5,386,387.9,2737715,1066330326
30-May-11,390,397,390,394.95,2529091,996579282.8
31-May-11,394,422.35,394,408.45,11708250,4800084312
01-Jun-11,415,416.6,405.1,414.45,4496698,1854193227
02-Jun-11,413,413.5,400.6,402.75,2842746,1160420706
03-Jun-11,402.6,408.25,390.1,391.65,2764367,1099653274
06-Jun-11,392,399.8,390.35,393.9,2009110,795155395.9
07-Jun-11,395,404.3,393.3,403.15,1982013,791978818.7
08-Jun-11,404.05,413.8,402.7,407.65,3290373,1346500071
09-Jun-11,408,411.4,405.55,407.35,1360848,554855038.8
10-Jun-11,408.8,411.95,400.75,405.35,1845651,746009451.2
13-Jun-11,405,405.05,395,396.3,1548256,615718051.5
14-Jun-11,398.2,402.5,392.2,394.7,2432283,968436932.7
15-Jun-11,394.8,397.35,388.6,390.15,2682187,1052107133
16-Jun-11,390,396.7,387.95,394.25,1462308,574489251.8
17-Jun-11,394.5,402.6,393,395.6,3800502,1508619421
20-Jun-11,400.15,406.35,392.8,395.6,3967696,1582055298
21-Jun-11,396.95,399.8,388.25,389.75,2133725,841519232.6
22-Jun-11,392.05,393,376.1,378.65,2533012,965394910.8
23-Jun-11,378.65,382.8,375,376.1,2255855,852458979.1
24-Jun-11,378.6,391.5,378.6,390,2896582,1121314401
27-Jun-11,408.6,408.6,385.7,397.8,2439080,965181451.7
28-Jun-11,398,401.7,391.65,392.4,1186089,469740783.8
