Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Jan-09,450.00,466.95,450.00,464.15,5096416,2352034470
02-Jan-09,465.00,479.80,462.25,471.25,6463217,3053219552
05-Jan-09,475.50,504.00,474.15,499.90,8585791,4236493792
06-Jan-09,480.00,530.70,480.00,523.45,14115209,7266483004
07-Jan-09,528.00,538.60,454.05,467.85,19189173,9421280980
09-Jan-09,458.70,483.00,441.00,456.60,12660721,5841637163
12-Jan-09,440.00,463.30,428.20,438.00,8168155,3627032474
13-Jan-09,435.00,448.40,418.05,425.45,9939485,4282053194
14-Jan-09,428.65,451.00,428.65,441.10,6292884,2780013839
15-Jan-09,429.00,429.00,398.30,408.65,9696693,3941728332
16-Jan-09,415.00,427.70,408.65,423.75,5004035,2098438277
19-Jan-09,425.00,444.40,408.50,412.60,6020627,2493781859
20-Jan-09,403.00,407.80,390.25,396.30,6954114,2756993727
21-Jan-09,389.70,389.70,360.00,369.35,11918570,4484131069
22-Jan-09,381.95,385.90,358.75,378.05,9534927,3568956480
23-Jan-09,331.55,391.00,331.55,363.85,10743196,4009852883
27-Jan-09,372.95,389.00,359.10,381.10,9849131,3670494849
28-Jan-09,386.95,412.50,382.45,408.05,11795297,4670812495
29-Jan-09,430.00,433.70,402.60,410.10,9100850,3795501155
30-Jan-09,402.00,418.90,395.00,416.25,9010507,3666179886
02-Feb-09,402.55,412.10,383.00,385.10,6766101,2678719306
03-Feb-09,390.00,404.70,383.10,392.00,7152145,2809554740
04-Feb-09,395.00,405.25,386.30,389.70,6257756,2475839831
05-Feb-09,390.10,396.55,385.05,390.55,5065666,1973706999
06-Feb-09,399.00,408.85,396.00,407.10,5741796,2318666206
09-Feb-09,406.35,429.80,406.35,428.35,6792015,2853425865
10-Feb-09,428.00,442.00,420.20,428.70,7735275,3344504058
11-Feb-09,420.10,437.90,400.60,435.20,7677090,3273550194
12-Feb-09,433.70,434.40,416.70,421.40,6836380,2911193561
13-Feb-09,423.05,438.40,423.05,434.40,6447178,2795192049
16-Feb-09,433.50,439.90,405.95,409.00,6908268,2879977245
17-Feb-09,438.80,438.80,380.20,385.70,11229079,4364175249
18-Feb-09,383.00,384.80,365.00,369.50,13254008,4949682310
19-Feb-09,367.00,379.70,359.25,361.50,11655190,4269978601
20-Feb-09,356.00,358.65,331.00,335.85,12628960,4320407335
24-Feb-09,325.00,341.90,318.40,335.95,15551602,5136293877
25-Feb-09,341.00,349.90,338.40,340.60,10843876,3735689201
26-Feb-09,332.30,343.40,318.60,324.85,17237136,5598275507
27-Feb-09,324.00,334.00,311.05,327.55,17868678,5728065947
02-Mar-09,324.70,324.70,300.00,304.40,12044522,3750113231
03-Mar-09,295.00,313.20,293.30,295.60,24423234,7408543962
04-Mar-09,298.00,302.80,280.10,284.90,25291532,7341299036
05-Mar-09,287.00,294.75,266.10,270.05,26122290,7262914097
06-Mar-09,263.70,284.90,252.30,269.15,50409495,13591504084
09-Mar-09,268.85,272.40,258.00,262.95,19459652,5135412490
12-Mar-09,274.40,288.40,270.25,284.15,27371681,7691359994
13-Mar-09,296.00,312.75,292.00,308.65,26088959,7990467924
16-Mar-09,311.45,325.00,307.05,322.80,22200212,7012040017
17-Mar-09,324.50,337.30,314.05,323.40,31841759,10375312543
18-Mar-09,328.95,342.00,327.00,334.65,16522390,5561419739
19-Mar-09,335.35,346.50,326.25,337.90,21624698,7271385328
20-Mar-09,332.20,336.50,321.05,323.05,14802957,4830745812
23-Mar-09,329.00,349.90,326.40,346.80,17342680,5852227972
24-Mar-09,353.90,373.80,351.25,355.45,22747200,8273282261
25-Mar-09,360.00,369.90,349.15,365.55,21115940,7564321078
26-Mar-09,374.00,377.00,364.70,375.05,18620590,6897130314
27-Mar-09,377.10,387.80,374.35,385.20,14863778,5666585358
30-Mar-09,376.90,377.00,334.60,338.10,22093870,7790064255
31-Mar-09,340.50,346.30,314.30,332.80,34324594,11416747055
01-Apr-09,349.70,353.90,323.65,349.35,22367380,7570146480
02-Apr-09,360.00,378.70,356.25,360.70,23525738,8684118895
06-Apr-09,373.00,380.70,362.85,374.80,21989218,8176957261
08-Apr-09,360.45,379.60,346.65,376.40,18592959,6772346518
09-Apr-09,384.00,402.00,371.20,397.80,25376973,9929648100
13-Apr-09,405.00,421.50,405.00,416.60,11807765,4915534651
15-Apr-09,410.00,457.00,371.55,442.90,18814676,7974060781
16-Apr-09,469.60,469.60,422.15,427.55,21283603,9380319912
17-Apr-09,435.00,457.00,432.00,440.85,16673316,7436963595
20-Apr-09,439.25,456.00,423.55,426.65,16516692,7279655878
