Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Jan-09,1116.00,1152.85,1111.75,1148.15,932024,1055064150
02-Jan-09,1165.00,1165.00,1123.80,1132.10,1126510,1282259926
05-Jan-09,1140.00,1184.70,1139.70,1172.80,1405154,1633835116
06-Jan-09,1180.00,1190.00,1145.35,1168.55,1445483,1675443785
07-Jan-09,1171.15,1197.55,1145.60,1187.55,2817294,3322923013
09-Jan-09,1186.10,1266.60,1170.00,1203.40,5022770,6157021108
12-Jan-09,1151.65,1209.95,1138.25,1159.70,3908647,4579422135
13-Jan-09,1179.95,1242.40,1119.00,1228.15,5494582,6674101844
14-Jan-09,1225.50,1314.00,1225.50,1303.60,5193908,6714681109
15-Jan-09,1260.00,1263.90,1215.00,1251.70,3169897,3925787289
16-Jan-09,1258.00,1273.90,1240.00,1267.40,1589659,1997715938
19-Jan-09,1267.00,1272.75,1240.55,1262.05,1192961,1493505521
20-Jan-09,1240.00,1257.00,1230.00,1251.75,621836,773921853.6
21-Jan-09,1231.00,1251.50,1214.00,1223.85,971342,1199514135
22-Jan-09,1235.00,1239.00,1203.00,1230.90,1097010,1343587144
23-Jan-09,1210.00,1226.80,1190.55,1204.65,1453128,1751878058
27-Jan-09,1219.00,1260.00,1215.00,1252.10,1313398,1643109490
28-Jan-09,1263.00,1296.00,1250.00,1286.70,898481,1142525807
29-Jan-09,1290.00,1319.00,1287.00,1310.15,3250219,4227807954
30-Jan-09,1301.00,1314.00,1287.00,1306.65,1453959,1896609439
02-Feb-09,1292.00,1297.00,1267.95,1279.65,2108751,2704849450
03-Feb-09,1286.00,1302.00,1260.60,1282.50,2015634,2579985320
04-Feb-09,1285.00,1306.20,1276.35,1281.65,946788,1221043242
05-Feb-09,1286.00,1295.00,1237.50,1255.85,2192203,2757277761
06-Feb-09,1258.90,1297.40,1248.00,1288.90,1752502,2238115276
09-Feb-09,1268.00,1320.00,1268.00,1312.10,1439205,1873771467
10-Feb-09,1314.50,1325.00,1295.00,1308.40,1670970,2190459324
11-Feb-09,1290.00,1304.90,1280.00,1301.90,882128,1141564017
12-Feb-09,1295.00,1295.00,1250.10,1254.55,1405332,1776351019
13-Feb-09,1269.95,1279.95,1244.05,1251.65,1598917,2010962122
16-Feb-09,1259.95,1260.00,1215.10,1221.45,1485717,1826688787
17-Feb-09,1208.00,1218.80,1165.00,1173.95,1878148,2220046709
18-Feb-09,1178.50,1188.00,1115.35,1178.80,1387082,1630480521
