Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Jan-09,1240,1263,1235.1,1254.65,2856335,3570529649
02-Jan-09,1259.7,1299.9,1252,1286.4,4961862,6350791129
05-Jan-09,1299,1377,1295.1,1365.85,5506969,7356501459
06-Jan-09,1360,1390,1331.25,1370.9,6029600,8229200988
07-Jan-09,1369,1386,1175,1200.75,8500550,10744036760
09-Jan-09,1210,1210,1093.65,1153.25,9488130,10823186593
12-Jan-09,1139.7,1145,1085,1097.9,7364584,8119607669
13-Jan-09,1094.7,1146,1065,1077.55,6580241,7266222730
14-Jan-09,1091.1,1218,1091.1,1179.75,6550391,7508946863
15-Jan-09,1141.8,1159.95,1107.5,1142.35,6273731,7121081527
16-Jan-09,1151,1231,1139.9,1217.35,6661824,7975847898
19-Jan-09,1224.6,1249.95,1208,1229.9,4245780,5235810441
20-Jan-09,1216.8,1216.8,1168,1183.65,4647100,5547561689
21-Jan-09,1160,1182.9,1110,1119.85,4967385,5721473612
22-Jan-09,1149.9,1154.85,1107.1,1136.3,6995099,7917229908
23-Jan-09,1198,1335,1120,1156.15,8108608,9362086990
27-Jan-09,1186,1233.45,1170,1225.95,4483385,5419586096
28-Jan-09,1248,1290,1226.4,1274,4592859,5753410125
29-Jan-09,1285,1295,1241.25,1270.1,6343343,8012369310
30-Jan-09,1238,1330.8,1238,1323.6,5559302,7197441281
02-Feb-09,1290,1352.8,1273.55,1280,5365466,6978096779
03-Feb-09,1290,1334.7,1273.05,1306.2,6910891,9025099179
04-Feb-09,1315,1337.5,1295.1,1307.5,3966740,5225501224
05-Feb-09,1329,1329,1271.15,1288.8,4106585,5289165499
06-Feb-09,1300,1350,1295.6,1344.85,4341063,5770085227
09-Feb-09,1355,1399,1341,1389.7,4437777,6087706932
10-Feb-09,1388.9,1414.1,1372.35,1401.95,6796751,9490666926
11-Feb-09,1365,1389.3,1361,1381.25,4205287,5787943058
12-Feb-09,1378.7,1378.7,1345.3,1351.55,3144540,4282566855
13-Feb-09,1367,1404,1361,1392.4,2904652,4036258049
16-Feb-09,1384.45,1397.05,1311.1,1320.2,4594188,6164542556
17-Feb-09,1301.15,1307,1258.2,1267.3,3828752,4883192869
18-Feb-09,1267,1317.8,1240,1295.15,4574188,5923002767
19-Feb-09,1290,1309,1282.1,1293.75,3004383,3892590209
20-Feb-09,1256.05,1283,1241.55,1253.4,3677545,4620929166
24-Feb-09,1235,1263.6,1201.35,1253.25,4570169,5626253531
25-Feb-09,1265,1286,1262.55,1266.55,2954972,3767070569
26-Feb-09,1258,1297,1251.3,1290.8,3839552,4886505492
27-Feb-09,1289.4,1293,1246.55,1266.05,4810161,6088056354
02-Mar-09,1228.7,1263.7,1215,1225.65,4937991,6111476670
03-Mar-09,1230,1251.95,1175,1196.85,5237026,6415732891
04-Mar-09,1155.35,1217.7,1155.35,1211.1,5976700,7159859109
05-Mar-09,1208,1220,1142.25,1149.8,7117449,8298314693
06-Mar-09,1130,1177,1115.3,1169.9,4562909,5237495258
09-Mar-09,1161,1168,1138.15,1153.35,3346831,3845816767
12-Mar-09,1181,1214.6,1158,1202,4864919,5824383506
13-Mar-09,1229.9,1293.8,1226,1284.25,4113560,5182067686
16-Mar-09,1284.25,1334,1271,1327.6,4526883,5901262947
17-Mar-09,1330,1343,1293.15,1300.2,4755486,6257264632
18-Mar-09,1315.1,1362,1315.1,1331.4,4368767,5862592772
19-Mar-09,1338,1353.85,1320.1,1345.7,4341169,5805523673
20-Mar-09,1339,1359.9,1322,1339.2,5105940,6821629681
23-Mar-09,1354,1450,1354,1438.45,4971588,6973223692
24-Mar-09,1450.05,1475,1440,1452.45,6896741,10047007295
25-Mar-09,1450,1549,1450,1532.2,9567684,14365683304
26-Mar-09,1549.7,1579,1523,1565.5,8215501,12742884295
27-Mar-09,1554,1583.4,1535,1548.75,6744638,10482723672
30-Mar-09,1521.1,1535,1495,1516.45,6871088,10404397248
31-Mar-09,1535,1551.95,1515,1524.75,5714483,8789213982
01-Apr-09,1523,1594,1497.35,1581.25,4777855,7391764855
02-Apr-09,1610,1680,1602.25,1661.35,5489146,9066726560
06-Apr-09,1700,1742.3,1645.6,1671.6,5259028,8843657686
08-Apr-09,1639.95,1739,1605,1725.15,9194966,15241784014
09-Apr-09,1750,1767.85,1705.25,1735.75,5193767,9016552992
13-Apr-09,1759.95,1789,1723,1773.55,3804850,6674712384
15-Apr-09,1750,1839.7,1733.15,1830.05,6047211,10878459781
16-Apr-09,1811.1,1840,1718.35,1735,6619758,11743094848
17-Apr-09,1750.1,1780.65,1702.35,1716.95,6420246,11238842476
20-Apr-09,1720,1754.7,1688.3,1715.4,4930249,8503054407
21-Apr-09,1695,1733.65,1684.7,1706.1,5002628,8548339425
22-Apr-09,1720,1733,1691,1718,4423560,7577739041
23-Apr-09,1717,1774.9,1696,1763.7,4239012,7377868416
24-Apr-09,1750,1802,1727,1788.85,5475144,9647368461
27-Apr-09,1791,1807,1761,1785.55,4197673,7488985008
28-Apr-09,1781,1792,1731,1737.15,4024229,7097671397
29-Apr-09,1751,1820,1745.85,1806.25,4271409,7633236232
04-May-09,1851,1895,1840.3,1887.1,4285511,8038627497
05-May-09,1885,1894.7,1836,1883.65,4878488,9096206569
06-May-09,1889,1938.1,1860,1881.5,4881911,9273725317
07-May-09,1850,1924.9,1850,1915.55,3674123,7010707411
08-May-09,1920,1932,1875,1900.3,3985320,7587812298
11-May-09,1919,1928,1850.1,1861.6,3757600,7060520528
12-May-09,1849.95,1975.4,1843,1959.9,4585587,8720033827
13-May-09,1972.25,1975,1906,1933,5226617,10143339757
14-May-09,1902.25,1927.5,1880.2,1908.95,4047066,7724576193
15-May-09,1915,1960,1911.65,1950.7,3153527,6105916794
18-May-09,2147,2535,2101.25,2367.55, $ 52820.00 ,124406277.3
19-May-09,2450,2500,2200,2230.9,10473822,23953897351
20-May-09,2200,2252.7,2136.2,2152.45,6746905,14723041020
21-May-09,2145,2177,2102.55,2115.45,3977372,8515026881
22-May-09,2099.8,2207.2,2091,2185.75,4446371,9629676775
25-May-09,2200,2215,2154,2194.75,3104057,6771678458
26-May-09,2180.1,2209,2130.5,2142.7,2484080,5365943358
27-May-09,2172,2205,2152.45,2186.35,5225093,11371767100
28-May-09,2180,2246,2180,2220.55,4498063,10011549262
29-May-09,2244.8,2307.7,2213,2271.9,6396695,14521390950
01-Jun-09,2330,2330,2256.15,2282.2,2977383,6814553231
02-Jun-09,2300.1,2308.45,2224.05,2279.2,3299111,7456958915
03-Jun-09,2261.3,2307.5,2225.5,2245.9,3438123,7772193849
04-Jun-09,2224.8,2268.85,2160,2261.75,3860237,8557148278
05-Jun-09,2275,2281,2190,2212.75,4677671,10416689974
08-Jun-09,2207,2261.8,2176,2194,3778012,8371815296
09-Jun-09,2188,2291,2175,2272.15,4153933,9318216770
10-Jun-09,2291,2339.9,2286.15,2320.2,3965233,9197592951
11-Jun-09,2320,2325,2282.5,2303.25,2541401,5849708511
12-Jun-09,2310,2379,2305.25,2362.1,4916730,11544661173
15-Jun-09,2359.7,2359.7,2165.3,2178.8,7140962,15897843342
16-Jun-09,2150,2184.9,2126.6,2143.35,5128268,11059123410
17-Jun-09,2125.8,2178,2036.35,2051.35,4919878,10424138413
18-Jun-09,2058,2072.5,1990.1,2025.05,6207405,12626966685
19-Jun-09,2045,2062.45,1977.1,2041.5,4851582,9834254346
22-Jun-09,2047.7,2050,1932.55,1952.5,4621154,9186613564
23-Jun-09,1900,2033.7,1900,2015.3,5946495,11794796368
24-Jun-09,2025,2035.75,1972.05,2002.35,4710244,9446491054
25-Jun-09,2001.2,2024,1942.45,1958.1,5335839,10551268880
26-Jun-09,1966.15,2037,1962.95,2029.2,3979065,7964385196
29-Jun-09,2026,2112.9,2004.75,2087,3726361,7735681572
30-Jun-09,2100,2109.3,2010.6,2023.4,2981288,6103027138
01-Jul-09,2029.9,2085,1988,2058.8,3718079,7577789854
02-Jul-09,2183,2183,1995.35,2011.35,3850061,7789741493
03-Jul-09,2000,2035.1,1980,2027.65,4332698,8719619982
06-Jul-09,2048,2052,1861.05,1893.15,5923485,11580531221
07-Jul-09,1901,1913,1825.2,1855.45,5835396,10826624315
08-Jul-09,1855.45,1890,1797.3,1829.65,5771172,10637899785
09-Jul-09,1835,1874.9,1830.1,1853.4,3688001,6849897258
10-Jul-09,1853,1866.95,1745,1775.15,4201235,7646205178
13-Jul-09,1749.7,1768.5,1717.1,1750.95,4149470,7222450249
14-Jul-09,1774,1825,1766,1814.05,3699051,6616607003
15-Jul-09,1850,1890,1806.55,1876.3,3173993,5850541566
16-Jul-09,1901,1968.4,1880,1935.4,5526846,10633605381
17-Jul-09,1945.1,1966,1925.3,1937.05,3305062,6434521075
20-Jul-09,1960,2039,1950,2033.3,4118480,8276926569
