Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Jan-09,247.45,265.90,247.45,261.25,109104,28080651.45
02-Jan-09,269.00,279.00,264.05,273.90,139279,37926948.10
05-Jan-09,277.90,289.00,277.90,283.90,189621,54125379.00
06-Jan-09,280.00,340.00,280.00,294.30,1171513,356191783.75
07-Jan-09,300.00,301.15,246.00,252.00,425970,118125573.60
09-Jan-09,250.00,263.80,235.00,249.85,169670,42207392.55
12-Jan-09,252.00,258.95,244.00,246.05,85398,21327143.60
13-Jan-09,248.90,248.90,230.10,233.40,153831,36695007.25
14-Jan-09,237.50,247.00,233.00,235.80,116473,27976486.50
15-Jan-09,228.00,250.00,211.05,241.65,163922,38883089.10
16-Jan-09,242.50,248.95,238.20,240.35,58424,14129279.95
19-Jan-09,247.90,247.90,236.00,239.80,31644,7639507.80
20-Jan-09,235.00,243.00,230.55,236.70,55519,13273980.65
21-Jan-09,231.50,240.90,224.10,226.70,52481,12244102.85
22-Jan-09,231.00,238.35,217.65,229.40,235834,52474704.35
23-Jan-09,226.20,229.00,205.00,209.30,116017,25062689.65
27-Jan-09,229.90,229.90,208.00,215.75,103323,22521287.35
28-Jan-09,218.00,225.05,218.00,224.15,111791,24889764.15
29-Jan-09,227.00,235.00,223.10,230.35,166349,37917401.85
30-Jan-09,228.80,240.00,225.00,237.90,131764,30998430.60
02-Feb-09,240.00,244.00,232.70,235.45,65023,15509403.25
03-Feb-09,244.00,244.00,230.10,232.40,82571,19561060.40
04-Feb-09,233.00,241.80,230.00,231.25,60403,14223164.60
05-Feb-09,233.00,234.15,222.10,225.25,41477,9385099.25
06-Feb-09,225.50,233.60,225.50,232.00,119932,27669444.60
09-Feb-09,233.00,239.95,231.95,234.70,45748,10799465.80
10-Feb-09,235.10,239.45,235.00,236.80,32226,7654912.05
11-Feb-09,233.00,237.00,231.55,233.45,17311,4047838.25
12-Feb-09,231.90,250.00,230.00,244.60,236101,57355320.45
13-Feb-09,247.40,254.00,245.10,249.55,173582,43521772.35
16-Feb-09,250.00,251.00,240.00,245.40,115123,28290591.65
17-Feb-09,238.50,243.00,235.05,237.45,80199,19206856.40
18-Feb-09,232.90,244.00,232.00,238.80,68576,16405657.80
19-Feb-09,236.00,273.80,234.00,266.65,513939,134956471.40
20-Feb-09,215.25,274.70,215.25,269.85,1081811,286781961.05
24-Feb-09,265.00,275.80,258.00,271.45,339967,90682201.10
25-Feb-09,278.75,285.00,271.15,275.80,398203,111545922.90
26-Feb-09,273.80,288.00,255.60,257.95,302429,80847834.15
